79,Zombie,Cranberries
102,Kasalanan,Orient Pearl
105,Next In Line,After Image
122,LAKLAK,THE TEETH
158,Stay,Shakespear's Sister
223,Line To Heaven,Introvoys
375,Bad Case Of Loving You,Robert Palmer
511,Break It Down Again,Tears For Fears
512,All I Want,Toad The Wet Sprocket
513,Creep,Radiohead
532,What's Up,4 Non Blondes
614,THE MORE YOU IGNORE ME,MORRISSEY
660,ORDINARY WORLD,DURAN DURAN
726,Shine,Collective Soul
731,COME UNDONE,DURAN DURAN
1012,Hand In My Pocket,Alanis Morissette
1018,Ironic,Alanis Morissette
1110,Pagsubok,Orient Pearl
1390,Pare Ko,Eraserheads
1474,About A Girl,Nirvana
1514,NO RAIN,BLIND MELON
1518,Paglisan,Color It Red
1748,I'M STILL REMEMBERING,THE CRANBERRIES
1766,3 A.M.,Matchbox 20
1771,Mmmm Sarap,Kamikazee
1823,Paglisan,Color It Red
2993,"RIGHT HERE, RIGHT NOW",JESUS JONES
3057,Ang Huling El Bimbo,Eraser Heads
3103,Don't Speak,No Doubt
3105,ENGLISHMAN IN NEW YORK,Sting
3135,Ha Ha Ha,Eraserheads
3139,Harana,Parokya Ni Edgar
3141,Hard To Believe,Eraserheads
3159,I Love The,Alicia Bridge
3224,One of Us,Joan Orborne
3257,Spoliarium,Eraseheads
3301,Two Princes,Spin Doctors
3307,74-75,The Connels
3345,Black Hole Sun,Sound Garden
3352,Breath Of Life,Erasure
3370,Cats In The Cradle,Ugly Kid Joe
3373,Chains Of Love,Erasure
3442,Good,Better Than Ezra
3452,Gump,Weird Al
3461,Head Over Feet,Alanis Morisette
3462,Heart Shape Box,Nirvana
3497,Bad Case Of Loving You,Robert Palmer
3517,Lithium,Nirvana
3524,Losing My Religion,R.E.M.
3583,Rape Me,Nirvana
3603,Runaway Train,Soul Asylum
3637,Strange Currencies,R.E.M.
3639,Stupid Girl,Garbage
3653,Smells Like Teen Spirit,Nirvana
3672,Tink Of Me,Charles Heart
3676,Twenty-One,Cranberries
3682,Under The Bridge,Red Hot Chili Peppers
3700,When I Come Around,Greenday
3712,Wish You Were Here,Pink Floyd
3720,Wrapped Around Your Finger,Police
3999,Original Prankster,Offspring
4268,MMM MMM MMM MMM,CRASH TEST DUMMIES
4281,Kiss Me,Six Pence None The Richer
4320,There She Goes,Sixpence None The Richer
