29,Blue Christmas,Wynonna
38,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
53,Island In the Stream,Rogers & Paron
67,You Are My Sunshine,Gary Davis
147,How Can You Mend,Bee Gees
150,TENNESSEE WALTZ,PATTI PAGE
159,God Bless USA,J. Ford
161,Don't It Make My Brown Eyes Blue,Crystal Gale
167,Help Me Make It Through The Night,Kris Kristofferson
181,Don't Cry Joni,Conway Twitty and Joni Lee
186,I'm Sorry,Brenda Lee
196,Oh Lonesome Me,Victor Wood
260,The Minute Your Gone,Harry Ventura
273,A Long And Lasting Love,Crystal Gayle
282,Just Another Woman In Love,Anne Murray
286,Any Man Of Mine,Shania Twain
334,Change The World,Eric Clapton
339,How Do I Live,Trisha Yearwood
344,Valentine,Martina Mcbride
351,Massachusetts,Bee Gees
353,Mocking Bird Hill,Patti Page
366,WELCOME TO MY WORLD,ANITA KERR SINGERS
383,Help Me Make It Through The Night,Kris Kristofferson
412,Don't It Make My Brown Eyes Blue,Crystal Gale
441,HONKY TONK WOMEN,THE ROLLING STONES
442,GEORGIA ON MY MIND,RAY CHARLES
446,Memories,Elvis Presley
447,Wake Up Little Susie,The Everly Brothers
592,ACHY BREAKY HEART,DON VON TRESS
612,By The Light Of The…,Mel & Lyr
615,Lady,Kenny Rogers
672,I'll Never Fall In Love,Mary Carpenter
696,WIND ME UP (LET ME GO),CLIFF RICHARD
700,There Goes My Everything,Engelbert Humperdinck
710,Hello Mary Lou,The Executives
747,Your Cheating Heart,Hank Williams
804,BLUE BAYOU,LINDA RONSTADT
817,Desperado,Eagles
838,Make The World Go Away,Willie Nelson
843,Heartache Tonight,Eagles
845,Garden Party,Ricky Nelson
857,DON'T CRY FOR ME ARGENTINA,OLIVIA NEWTON JOHN
876,If I Needed You,D. Williams
886,Looking for love,Johnny Lee
910,Sea Of Heartbreak,Poco
924,HAVE YOU EVER BEEN MELLOW,OLIVIA NEWTON JOHN
953,If Tomorrow Never Comes,Garth Brooks
957,Tell Me That You Love Me,Anne Murray
985,Thanks To You,Tyler Collins
988,WE'VE GOT TONIGHT,KENNY ROGERS
993,BABY NOW THAT I FOUND,ALISON KRAUSS
997,Blue Eyes Crying In The Rain,Dolly Parton
1124,I BELIEVE IN YOU,DON WILLIAMS
1343,End Of The World,Carpenters
1409,COLD COLD HEART,TONY BENNET
1435,Am I That Easy To Forget,Engelbert Humperdinck
1469,I'll Always Love You,Michael Johnson
1482,Doors,Michael Johnson
1527,Take It To The Limit,Eagles
1529,It's Sad To Belong,Englang Dan & John Ford Coley
1562,AFTER THE FIRE IS GONE,FREDDIE FENDER
1564,A FOOL SUCH AS I,ELVIS PRESLEY
1568,I'm Not A Fool Anymore,Freddie Fender
1580,It's A Heartache,Bonnie Tyler
1597,My Special Angel,Bobby Helms
1612,WITCHITA LINEMAN,GLEN CAMPBELL
1644,ACT NATURALLY,RINGO STAR
1657,HAVE I TOLD YOU LATELY,ELVIS PRESLEY
1665,HOW MUCH IS THAT..,FREDDIE FENDER
1712,Through The Years,Kenny Rogers
2531,All for the love of a girl,Johnny Horton
2540,Beautiful Brown Eyes,Grace Walter
2549,Changing Partners,Skeeter Davis
2553,Don't Forget to Remember Me,Bee Gees
2556,Danny Boy,Conway Twitty
2566,For The Good Times,Kris Kristofferson
2576,He'll have to go,Jim Reeves
2578,Help Me Make It Through The Night,Kris Kristofferson
2582,I Can't Stop Loving You,Ray Charles
2584,I Really Don't Want To Know,Elvis Presley
2588,ITSY BITSY TEENIE WEENIE YELLOW...,BRIAN HYLAND
2597,Let Me Be There,Olivia Newton John
2613,Paper Roses,Marie Osmond
2618,YOU NEEDED ME,ANNE MURRAY
2620,San Francisco,Gleen Camble
