5,I Wanna Dance With Somebody,Whitney Houston
178,Mr. Kupido,Rachel Alejandro
180,Choto Matte Kudesai,Sex Bomb
228,The Sign,Aace Of Base
242,SHA LA LA,DREAMHOUSE
478,I'm Too Sexy,Right Said Fred
518,Everything Counts,Depeche Mode
520,ANYTIME,THE JETS:
544,Kiss,Tom Jones
592,ACHY BREAKY HEART,DON VON TRESS
638,Borderline,Madonna
656,Mr. Vain,Sound Tripper
735,Moving On Up,M. People
748,No Limit,2 Unlimited
754,SOMETHING GOT ME STARTED,Simply Red
870,Holiday,Madonna
914,Smile Again,Newton Family
1002,Dream About You,Stevie B.
1004,EVERYBODY,MADONNA
1017,In The Groove,Madonna
1124,I BELIEVE IN YOU,DON WILLIAMS
1174,KULANG SA PANSIN,RACHEL ALEJANDRO
1436,Around The World,Aqua
1500,La Isla Bonita,Madonna
1572,All That She Wants,Ace Of Base
1595,The Most Beautiful Girl,Prince
1705,LISTEN TO YOUR HEART,SONIA
1756,Chocolatte,Soul Control
1757,Chuwariwap,Gee Girls
1764,Bulaklak,Viva Hot Babes
1797,Venus,Sexbomb Girls
1814,Miss Flawless,Angelica Jones
2310,LA BRUJITA,"MR,JUNIOR"
2315,MU`EVELO,"VALLARTA S,"
2598,Like A Virgin,Madonna
2638,The Way We Were,Babra Streisand
2657,SAY YOU WILL,David Liang
2665,Touch By Touch,Joy
2669,"You're My Heart, You're My Soul",Modern Talking
2672,You Can Win If You Want,Modern Talking
2681,Venus,BANANARAMA
2718,Boys Boys Boys,Sabrina
2899,PHYSICAL,Olivia N. John
2958,Step By Step,New Kids On The Block
2990,I'm So Excited,The Pointer's Sister
3047,All That She Wants,Ace Of Base
3065,BEAUTIFUL LIFE,ACE OF BACE
3166,I Wanna Dance With Somebody,Whitney Houston
3337,Bed Time Story,Madonna
3355,Brother Louie,Modern Talking
3378,Cheri Cheri Lady,Modern Talking
3386,COTTON EYE JOE,REDNEX
3396,Please Don't Go,KWS
3400,Don't Turn Around,Ace Of Base
3403,Do You Wanna,Modern Talking
3437,Ghost Busters,Ray Parker
3447,Go West,Pet Shop Boys
3507,LA ISLA BONITA,MADONNA
3529,LUCKY LOVE,ACE OF BASE
3532,Bed Time Story,Madonna
3608,Say You'll Be There,Spice Girls
3647,Sweet Freedom,Michael McDonald
3667,The Sign,Aace Of Base
3669,The Way We Were,Babra Streisand
3673,Think Of You,Whigfield
3684,Vogue,Madonna
3690,WANNABE,SPICE GIRLS
3699,Wheel Of Fortune,Ace Of Base
3706,Who's That Girl,Madonna
3913,LA Isla Bonita,Madonna
4207,How Will I Know,Whitney Houston
4274,Sussudio,Phil COllins
4291,Turn Back Time,Aqua
4295,DR. JONES,AQUA
4296,BARBIE GIRL,AQUA
4298,Boom Boom Boom,Venga Boys
4300,My Oh My,Aqua
4302,Beautiful Life,Ace Of Base
4307,We Like To Party,Venga Boys
4310,Spice Up Your Life,Spce Girls
4321,LARGER THAN LIFE,BACKSTREET BOYS
4327,I Wanna Be With You,Fun Factory
4343,LUCKY LOVE,ACE OF BASE
4349,Waiting For Tonight,Jennifer Lopez
4357,All That She Wants,Ace Of Base
4359,Never Gonna Give You Up,Rick Astley
4360,The Sign,Aace Of Base
4363,We Built This City,Starship
4377,Together Again,Janet Jackson
