34,I'd Like To Teach The World To Sing,The New Seekers
46,I Only Have Eyes For You,ART GARFUNKEL
56,Mrs. Robinson,Simon & Garfunkle
66,Scarborough Fair,Simon & Garfunkel
67,You Are My Sunshine,Gary Davis
94,Gaano Ko Ikaw Kamahal,Celeste Legaspi
127,Ang Bayan Kong Sinilangan,Asin
133,Kapaligiran,Asin
137,Itanong Mo Sa Mga Bata,Asin
147,How Can You Mend,Bee Gees
208,Tom Dooley,Bob Weirs
209,"Turn, Turn, Turn",The Byrds
210,Where Have All The Flowers Gone,Kingston Trio
294,Don't think Twice,Celine Dion
328,Yakapin Mo Ako,Joey Albert
350,So Far Away,Carole King
352,MELODY FAIR,BEE GEES
361,THIS LITTLE BIRD,MARIANNE FAITHFULL
386,MY SWEET LADY,JOHN DENVER
387,Sunshine On My Shoulder,John Denver
403,Take Me Home Country Roads,John Denver
404,Time In A Bottle,Jim Croce
405,Happy Together,The Turtles
407,HOMEWARD BOUND,SIMON & GARFUNKEL
409,BOTH SIDES NOW,JUDY COLLINS
424,HERE COMES THE SUN,BEATLES
469,Isang Babalikan,Cristy Mendoza
537,I Remember The Boy,Joey Albert
549,FIRST OF MAY,BEE GEES
555,NEW YORK MINING DISASTER,BEE GEES
561,I Need You,America
563,In The Morning,The Bee Gees
594,Batang Bata Ka Pa,Jim Paredes
657,Muntik Ng Maabot Ang Langit,True Faith
672,I'll Never Fall In Love,Mary Carpenter
703,Danny's Song,Loggins & Messina
744,OPERATOR,JIM CROCE
757,Stay With Me,Martin Nieverra
783,"BAD, BAD LEROY BROWN",JIM CROCE
825,Mrs. Robinson,Simon & Garfunkel
863,For My Lady,Moody Blues
900,Perhaps Love,John Denver
909,Scarborough Fair,Simon & Garfunkle
918,The Boxer,Simon & Garfunkel
944,Devil With A Blue Dress On,Mitch Ryder
997,Blue Eyes Crying In The Rain,Dolly Parton
1068,Ipaglalaban Ko,Freddie Aguilar
1069,MAGDALENA,FREDDIE AGUILAR
1137,Ikaw Lang Ang Mamahalin,Joey Albert
1148,Isang Babalikan,Cristy Mendoza
1181,Ang Buhay Ko,Asin
1228,BAYAN KO,Freddie Aguilar
1246,AKO'Y NAGKAMALI,CRISTY MENDOZA
1253,First Love,The Seekers
1276,Pagbabalik,Asin
1310,Muntik Ng Maabot Ang Langit,True Faith
1360,Isang Babalikan Isang Iiwanan,Cristy Mendoza
1426,Anak,Freddie Aguilar
1525,Estudyante Blues,Freddie Aguilar
1679,Till I Met You,Joey Albert
1687,No More Rhyme,Debbie Gibson
2531,All for the love of a girl,Johnny Horton
2540,Beautiful Brown Eyes,Grace Walter
2542,Bridge Over Troubled Water,Simon & Garfunkel
2547,California Dreamin',Mamas & Papas
2559,EL CONDOR PASA,SIMON & GARFUNKEL
2571,Green Fields,The Brothers Four
