355,Me And Mrs. Jones,Dr.  Dre
597,Baby I Love Your Way,Big Mountain
644,Hey Mr. DJ,Zhane
645,Ice Ice Baby,Vanilla Ice
763,Ang Tipo Kong Lalaki,DJ Alvaro
792,Kahit Na,DJ Alvaro
943,Chain Of Fools,Aretha Franklin
1478,Can't Help Wondering Why,Dessa
1604,RIGHT HERE,S.W.V.
1743,I Want You,Thalia ft Fat Joe
1774,Makulit,DJ Alvaro
1782,Sayang,Parokya Ni Edgar
1785,Singkit,DJ Alvaro
1792,The APL Song,Black Eyed Peas
1806,Parang Bad Habit,DJ Alvaro
2244,CORAZ`ON HERIDO,ARIA 8
2371,Nena,2ez2c
3589,Relax,To Hollywood
3782,BYE BYE BABY,MADONNA
4262,Gangsta's Paradise,Coolio
4530,I NEVER LOVED A MAN,ARETHA FRANKLYN
4921,BANYO QUEEN,ANDREW E.
4997,BANYO QUEEN,ANDREW E.
5067,Ice Ice Baby,Vanilla Ice
5459,Loving You,Diano Ross
5490,Humanap Ka Ng Panget,Andrew E.
5602,Independent Woman,Destiny's Child
5679,Andrew ford Medina,Andrew E.
5690,KUNG KAILANGAN MO AKO,DONA CRUZ
5732,"Manana, Mamaya Na",Jalil
5777,Independent Women,Destiny's Child
5778,Say My Name,Destiny's Child
5779,Survivor,Destiny's Child
5818,CARWASH,Andrew E.
5871,Stupid Love,Salbakuta 
5945,Brown Eyes,Destiny's Child
5954,DI KARAPAT-DAPAT,SALBAKUTAH
6013,Sinabmarin,Andrew E.
6525,Emotion,Destiny's Child
6714,Brown Eyes,Destiny' Child
6795,Ice Ice Baby,Vanilla Ice
6843,DIRRTY,Christina Aguilerra
6871,Jenny From The Block,Jennifer Lopez
6927,KAHIT NA PANGIT KA,DJ ALVARO
6953,Papa Ka Ba,DJ Alvaro
6967,DI KARAPATDAPAT,SALBAKUTAH
6999,CLEANING MY CLOSET,EMINEM
7095,Where's The Love,Black Eyed Peas
7129,Sana Do,Andrew E.
7201,Call Me,Aretha Franklin
7214,Kahit Na,DJ Alvaro
7276,BANYO QUEEN,ANDREW E.
7326,CARWASH,Andrew E.
7338,Makulit,DJ Alvaro
7347,Singkit,DJ Alvaro
7357,The APL Song,Black Eyed Peas
7379,Crazy Inlove,Beyonce
7380,DESIGN FOR LOVE,JAY R
7393,I Want You,Thalia ft Fat Joe
7402,Alabang Girls,Andrew E.
7403,Andrew ford Medina,Andrew E.
7405,Mahirap Ang Maging Pogi,Andrew E.
7455,KAHIT NA PANGIT KA,DJ ALVARO
7502,IndaClub,50 Cents
7533,UBOS NA ANG PASENSYA,OGIE N' SALBAKUTAH
7561,Alabang Girls,Andrew E.
7623,Can't Hold Us Down,Christina Aguilera
7792,Pink Palaka,Andrew E.
7793,Simpleng Tao,Gloc 9
7805,Stan,Eminem
7836,Daisy Otso,Keekaayz
7842,Family Affair,Mary J. Blige
7882,Make You Mine,Nina
7997,Around You,Tribe Of Levi
8012,Itsumo,Dice & K9
8046,Hinahanap Ng Puso,Gloc 9
8049,"Crispy Na, Creamy Pa",Andrew E.
8071,Kabataan Para Sa Kinabukasan,Francis M.
