6,Mona Lisa,Nat King Cole
254,AKO AY IKAW RIN,NONOY ZUNIGA
730,Ocean Of Love,H. Coleman
1003,Eternally,Victor Wood
1058,IKAW SANA,OGIE ALCASID
1079,Never Ever Say Goodbye,Nonoy Zuniga
1081,Paminsan-minsan,Richard Reynoso
1084,PINTIG NG PUSO,NECIE LACSON
1106,Minahal Kita,Michael Laygo
1231,You're My Home,Odette Quesada :
1235,Pobreng Alindahaw,Melinda Veloso
1265,Ibig Kong Magtapat,Victor Wood
1274,Hindi Kita Malilimutan,Nonoy Zuniga
1295,Sa Piling Mo,Mabuhay Singers
1558,Doon Lang,Nonoy Zuniga
1584,A Long Long Time Ago,Odette Quesada
3108,Eternally,Victor Wood
3168,I Will Always Love You,Whitney Houston
4334,Nandito Ako,Ogie Alcasid
5128,ASA KA PA,ARA MINA
5218,TUNAY NA MAHAL,LANI MISALUCHA
5681,At Kung Malayo Ka,Melody
5916,HANGGANG NGAYON IKAW,OGIE ALCASID
6095,At Kung Malayo Ka,Melody
6522,Kailangan Kita,Piolo Pascual
6563,HANGGANG NGAYON IKAW,OGIE ALCASID
6650,Where Love Has Gone,Isay Alvarez
6674,Mahal Kita Kahit Kailan,Junior
6783,Baunin Mo Ang Pag-ibig Ko,J.  Brothers
6807,WALANG KAPALIT,Piolo Pascual
6823,Sa Kanya,Ogie Alcasid
6854,Huwag Ka Lang Mawawala,Ogie Alcasid
6864,Hanggang,Wency Cornejo
6951,Lovin' You,Nina
7073,Forever Is Not Enough,Sarah Geronimo
7103,Choose To Forgive,Nonoy Zuniga
7151,At Kung Malayo Ka,Melody
7205,Forever Is Not Enough,Sarah Geronimo
7595,Kung Ibibigay Sa Yo,Nina
7716,Ako'y Sayong Sayo,Himig
7776,Iibigin Kita,J. Advincula
8861,WHERE IS LOVE,NINA
9131,Di Bat Sinabi Mo,J BROTHERS
9214,Never Ever Say Goodbye,Nonoy Zuniga
9437,A Very Special Love,Sarah Geronimo
9513,PAANO KITA IIBIGIN,Piolo Pascual & Regine Velasquez
9714,One More Try,Kuh Ledesma
10649,Dua Kami Dita Pusom,Lea Dansalan
10663,Ikaw,Harana Cebuano
10703,Laglagipem Awan Naglurangak,Lea Dansalan
10726,May Gitago Kong Pagbati,Harana Cebuano
10899,Maybe This Time (Bicol Adaptation),Nonoy
10951,Katahum Sa Yamog,Girlie Lapinid-Las Pinas
11050,Magbabalik Ka Pa Ba,Nikki Gil
11409,Yakap,Ogie Alcasid
11741,KUNIN MO NA ANG LAHAT SA AKIN,ANGELINE QUINTO
15542,Pag-ibig Na Nga Ba Ito,Hansom
15659,Minahal Kita,Michael Laygo
16176,Hanggang Kailan Kita Mamahalin,Angeline Quinto
16242,Ikaw Lamang,Siakol
16477,Everything Takes Time,Hazel Faith Dela Cruz
17155,Kumusta Ka,Nonoy Zuniga
17760,Mananatili,Marlo Mortel & Janella Salvador
18138,Just A Smile Away,Jaime Garchitorena
18258,Miss Kita,J Brothers
18319,I Need You In My Life,Homer Paredes
18457,Kapag Kasama Kita,Piolo Pascual
18633,Malaya,Moira Dela Torre
18986,At Ang Hirap,Angeline Quinto
26417,Torete,Moira Dela Torre
26610,Magmahalan Nang Buong Puso,GMA Christmas Station ID 2017
26841,Kanlungan,Hannah Precillas
26886,Tagpuan,Moira Dela Torre
26955,Sinta,Glaiza De Castro
27667,Ikaw At Ako,Moira and Jason
28129,Patawad Paalam,Moira x I Belong To The Zoo
28186,Lover,Taylor Swift
28213,Dahil Ikaw Ang Mahal Ko,Hannah Flores
28359,Mahal Miss Na Miss Kita,Hamier M. Sendad
28388,Love Shines,GMA Christmas Station ID 2019
28414,Mundo Ko'y Parang Langit Na,Cesar Barreta
28596,Miss Kita,J. Brothers
28718,Gusto Kita,Angeline Quinto
28727,Kung Walang Ikaw,Hannah Precillas
29027,Nagmamahal,Narex
29142,Paubaya,Moira Dela Torre
29893,Kulang Ang Sandali,Hannah Precillas
39291,Dito Ka Lang (In My Heart),Moira Dela Torre
39498,Sadly Falling,Hannah Precillas
39883,Miss Na Miss Kita,Sanshai
40802,Nagmamahal Kahit Bawal,Narex Bernan
41656,Lulay,Nowan
