38,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
180,Choto Matte Kudesai,Sex Bomb
314,Sinaktan Mo Ang Puso Ko,Michael V.
656,Mr. Vain,Sound Tripper
763,Ang Tipo Kong Lalaki,DJ Alvaro
780,Rubber Duckie,Ernie
792,Kahit Na,DJ Alvaro
1296,HAHABOL-HABOL,MABUHAY SINGERS
1412,Toyang,Eraserheads
1522,Sikat Na Si Pedro,Phil. Violators
1735,Libreng-Libre,Masculados
1754,Hawakan Mong Mabuti,Masculados
1764,Bulaklak,Viva Hot Babes
1774,Makulit,DJ Alvaro
1784,Ratratin,Masculados
1785,Singkit,DJ Alvaro
1795,Uhhya Uhhya,Masculados
1806,Parang Bad Habit,DJ Alvaro
1814,Miss Flawless,Angelica Jones
1824,Pito-Pito,Willie Revillame
2588,ITSY BITSY TEENIE WEENIE YELLOW...,BRIAN HYLAND
2658,GIRL YOU ARE MY LOVE,Pink Boys
3061,BAWAL NA GAMOT,WILLE GARTE
3412,It's A Small World,Disney Theme
3450,Green Vest In The Sky(Parody),Greg Norman
3623,It's A Small World,Disney Theme
3899,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland
4057,Salawahan,Ric Rodrigo
4225,Kung Ikaw,Lito Camo
4913,Alien,Brod Pete.
4915,Arayyy...,Mae Rivera
4951,Hudas Ka,Mae Rivera
5022,Wag Mong Pigilan,Willie Revillame
5099,Sabi Mo Sa Akin Binata Ka,Mae Rivera
5145,"Happy,Happy Birthday",Beerhouse Gang
5178,MAS MAHAL NA KITA NGAYON,MICHAEL V.
5228,Ang Cute Ng Pokemon,Willie Revillame
5232,Butsikik,Yoyoy Villame
5235,Dayang Daya,Yoyoy Villame
5259,LAGING LERON KA,MICHAEL V.
5270,Modelong Charing,Blak Dyak
5272,NILUNOK KONG LAHAT,SELINA SEVILLA
5312,Philippine Geography,Yoyoy Villame
5466,Sisirin Mo,Diwata
5502,Lupaypay,Ruffa Mae Quinto
5520,SI FELIMON,YOYOY VILLAME
5523,AY AY AY I LOVE YOU,YOYOY VILLAME
5556,Ako Ba O Siya?,Hannah Villame
5561,ARAYYY..,MAE RIVERA
5569,Bakya Mo Neneng,Pinoy Classic
5571,Booba,Ruffa Mae Quinto
5616,Labi Mo,Marissa Sanchez
5619,LITTLE INDIAN FIVE SIX,ROY GEORGE
5629,Ako'y Napapa-Uhh,Gladys and the Boxer with K
5658,TARZAN AND BAROK,YOYOY VILLAME
5684,Butsikik,Yoyoy Villame
5689,Jumbo,Ruffa MaeQuinto
5706,Babaeng Holdaper,Porkchop
5707,Bakya Mo Neneng,Pinoy Classic
5708,Bitin Na Bitin,Ruffa Mae Quinto
5716,"Hatid Sundo, Sundo't Hatid",Brod.Pete
5717,HAYOP NA COMBO,BLAKDYAK
5731,MAHIRAP MAGMAHAL NG SYOTA NG IBA,JIM PAREDES
5735,Pekeng Dalaga,PORKCHOP
5829,KASARIANG BOMBA,MICHAEL V.
5877,"Hatid Sundo, Sundo't Hatid",Brod.Pete
5937,BAKIT AKO MAHIHIYA,MAE RIVERA
