25,Anticipation,Joy Gonzaga
76,Tayong Dalawa,Rey Valera
86,Yakap-Yakap,Randy Santiago
93,Tanging Mahal,Regine Velasquez
94,Gaano Ko Ikaw Kamahal,Celeste Legaspi
95,Umiiyak Ang Puso,Aprl Boy Regino
96,Rain,Donna Cruz
97,Inaamin Ko Na,April Boy Regino
98,Special Memory,Odette Quesada
99,Nasaan Ka Kailangan Kita,April boY Regino
100,Nasaan Ka Kailangan Kita,April boY Regino
101,Why Can't It Be,Rannie Raymundo
102,Kasalanan,Orient Pearl
103,Nosi Balasi,Sampaguita
104,Isang Linggong Pag-ibig,Imelda Papin
105,Next In Line,After Image
106,You Are My Song,Regine Velasquez
107,BALAT-KAYO,ANTHONY CASTELLO
108,May Bukas Pa,Rico J. Puno
109,Pagtawid,After Image
110,Pumapatak Ang Ulan,Apo Hiking Society
111,Ganyan Talaga Ang Pag-ibig,April Boy Regino
113,When I Met You,APO
114,Tunay Na Ligaya,Ariel Rivera
115,Boulevard Ng Pag-Ibig,Bert Dominic
116,Pag-ibig Ko Sa'yo'y Di Magbabago,Men Oppose
117,Hiwaga ng Pag-ibig,Bing Rodrigo
118,Hold On,D. Eduque
119,"Isang Tanong, Isang Sagot",Donna Cruz
120,Laki Sa Layaw,Mike Hanopol
121,Kastilyong Buhangin,Basil Valdez
122,LAKLAK,THE TEETH
123,May Pag-ibig Pa Ba,Bing Rodrigo
124,Nais Ko,Miguel Vera
125,Lumuluha,Isabel Granada
126,Muling Mamahalin,Loui Heredia
127,Ang Bayan Kong Sinilangan,Asin
128,Araw-Araw,Didith Reyes
129,Bakit Ba?,Siakol
130,Pag-Ibig Na Walang Dangal,Eva Eugenio
131,Hanggang Ngayo'y Ikaw Pa Rin,Jaya
132,Kung Puwede Lang Sana,White Lies
133,Kapaligiran,Asin
134,Tukso,Sunshine Cruz
135,Wala Na Bang Pag-ibig,Jaya
136,Esperanza,April Boy Regino
137,Itanong Mo Sa Mga Bata,Asin
138,Kapantay Ay Langit,Pilita Corrales
139,Lagim,Siakol
140,Dahil Ba Sa Kanya,Jaya
141,Di Ba't Ikaw,Jessa Zaragosa
142,Paano Ba Aaminin,Jessa Zaragosa
143,Paano Kaya,Jessa Zaragoza
144,Tayong Dalawa,Rey Valera
151,Mahal Na Mahal Kita,Aegis
173,MAY CRUSH AKO SA'YO,CINDERELLA
174,Reaching Out,Gary Valenciano
175,Tanging Mahal,Regine Velasquez
176,Sa'yo Lamang,Joey Albert
177,Lumayo Ka Man,Rodel Naval
178,Mr. Kupido,Rachel Alejandro
180,Choto Matte Kudesai,Sex Bomb
182,DONNA DONNA,JOAN BAES
196,Oh Lonesome Me,Victor Wood
219,Pers Lab (1975 Original Version),Hotdog
220,Sinayang Mo,Reigh Albert
222,Isipin Mo,Jett Pangan
223,Line To Heaven,Introvoys
232,Only Remind Me Of You,St. Paul
234,Parting Time,Rockstar
238,Farewell,Raymond Lauchengco
240,Bakit Pa,Jessa Zaragosa
244,Gaano Kita Kamahal,Dulce
245,Hanggang Sa Dulo Ng Walang Hanggan,Basil Valdez
250,Ang Aking Awitin,Side A
254,AKO AY IKAW RIN,NONOY ZUNIGA
293,Send Me Your Pillow,Jolina Magdangal
296,Wakas,Kuh Ledesma
297,Walang Kaliwaan,Christy Mendoza
298,Anna,Apo Hiking Society
299,Kahit Konting Awa,Nora Aunor
300,Kung Matapos Nang Lahat,Louie Heredia
302,Pangako,The Flippers
303,Nang Minsan Lang,Willy Cruz
304,Gaya Ng Dati,Gary V.
306,Dahil Ba Sa Kanya,Jaya
307,Elesi,Rivermaya
308,FOREVER BLUE,CACAI VELASQUEZ
309,"Honey, My Love So Sweet",April Boys
310,IT HURTS ME MORE,ROCKSTAR 2
311,Ibang-Iba Ka Na,Renz Verano
312,"Pag-Ibig Mo, Pag-Ibig Ko",April Boy Regino
313,Remember Me,Renz Verano
314,Sinaktan Mo Ang Puso Ko,Michael V.
315,Aking Minahal,Rockstar 2
316,Ala-ala Mo,White Lies
317,F.L.A.M.E.S.,Jeffrey Hidalgo
318,Ika'y Mahal Pa Rin,Rockstar 2
319,Ikaw Lang Ang Mahal,Donna Cruz
320,Kung Alam Mo Lang,Joanne Lorenzana
321,Kung Puwede Lang Sana,White Lies
322,Maniniwala Ba Ako,Roselle Nava
323,Narito Ako,Ariel Rivera
324,Only Me And You,Donna Cruz
325,Pagkakataon,Ogie Alcasid
326,Mahal Kita Alam Mo Ba,Rockstar
327,Pasulyap-Sulyap,Tootsie Guevarra
328,Yakapin Mo Ako,Joey Albert
464,Dahil Sa Iyo,Pilita Corales
465,It Don't Mean A Thing,Sharon Cuneta
469,Isang Babalikan,Cristy Mendoza
475,Kahit Maputi Na Ang Buhok Ko,Sharon Cuneta
476,However Which Way,Introvoys
480,Tayong Dalawa,Rey Valera
481,Malayo Pa Ang Umaga,Rey Valera
482,Mahal Pa Rin Kita,Rockstar
483,Naalala Ka,Rey Valera
484,Walang Kapalit,Rey Valera
485,Salamat,The Dawn
486,Kung Tayo'y Magkakalayo,Rey Valera
487,GIVE ME THE NIGHT,THE DAWN
492,Hindi Kita Iiwan,Rey Valera
493,Gabay Mo Ako,Rey Valera
494,Ako Si Superman,Rey Valera
495,Tuloy Pa Rin,Randy Santiago
499,Kung Kailangan Mo Ako,Rey Valera
500,Maging Sino Ka Man,Rey Valera
502,Sinasamba Kita,Rey Valera
506,Only Remind Me Of You,St. Paul
521,DAHIL NANDITO KA,MIGUEL VERA
523,NARITO ANG PUSO KO,MIGUEL VERA
526,Simple Lang,Ariel Rivera
528,Can We Just Stop..,Jose Mari Chan
529,Pag Tumatagal Lalong,Bimbo Cerrudo
531,"Tulak Ng Bibig, Kabig Ng DIbdib",Cinderella
537,I Remember The Boy,Joey Albert
538,Somewhere In Time,Verni Varga
540,Tell Me,Side A
542,Urong-Sulong,Regine Velasquez
543,Kung Alam Ko Lang,Toni Daya
546,Hindi Ako Iiyak,The Flippers
579,Set You Free,Side A
586,Sana Ay Malaman Mo,Ric Segreto
594,Batang Bata Ka Pa,Jim Paredes
599,HETO NA NAMAN,Ryan Cayabyab
602,Narito Na Ang Pasko,Gino Padilla
604,Pasko Na Sinta Ko,Gary V.
605,Basta't Mahal Kita,John Melo
616,I'll Never Let You Go,Joanne Lorenzana
622,Tag-ulan,After Image
633,Awitin Mo At Isasayaw Ko,VST & Co.
634,Ayoko Na Sana,Ariel Rivera
656,Mr. Vain,Sound Tripper
657,Muntik Ng Maabot Ang Langit,True Faith
679,I'm Coming Home,Sentimental Collection
692,Do You Know Where You're Going To,Lani Misalucha
746,Till My Heartaches End,Ella Mae Saison
749,Mahal Na Mahal Kita,Aegis
757,Stay With Me,Martin Nieverra
763,Ang Tipo Kong Lalaki,DJ Alvaro
773,You're The Best..,Skool Boys
782,Basta't Kasama Kita,Dingdong Avanzado
792,Kahit Na,DJ Alvaro
821,Bus Stop,Till Dawn
858,Don't Worry Be Happy,Robert Mcferrin
867,Graduation Tears,Chelsea Chan
873,I Second That Emotion,Smokey Robinson
937,Legs,Aegis
951,That's What Friends Are For,Dionne & Friends
984,TAMMY,EVAN & LIVINGSTON
997,Blue Eyes Crying In The Rain,Dolly Parton
