3,BLACKBIRD,THE BEATLES
5,I Wanna Dance With Somebody,Whitney Houston
6,Mona Lisa,Nat King Cole
7,Tie A Yellow Ribbon..,Tony Orlando
8,Groovin',Young Rascals
9,Good Vibartions,Beach Boys
11,Lady Lay,Groscolas Pierre
12,Ballad Of John & Yoko,Beatles
15,Goodbye,Air Supply
16,If Love Is Blind,Tiffany
17,Baby You're A Rich Man,Beatles
19,Everybody Loves Somebody Sometimes,Dean Martin
25,Anticipation,Joy Gonzaga
27,Could It Be Magic,Barry Manilow
28,Till They Take My Heart Away,Claire Marlo
30,Breaking Up Is Hard To Do,N. Sedaka
31,COME SOFTLY TO ME,FLEETWOOD MAC
34,I'd Like To Teach The World To Sing,The New Seekers
35,I Love You For Sentimental Reasons,Linda Ronstadt
37,IT'S BEGINNING TO LOOK LIKE CHRISTMAS,BING CROSBY
39,Let Me Try Again,Frank Sinatra
44,She's Out Of My Life,Michael Jackson
45,Some Guys Have All The Luck,Rod Stewart
47,THE IMPOSSIBLE DREAM (THE QUEST),ANDY WILLIAMS
52,DO YOU WANT TO KNOW A SECRET?,Beatles
53,Island In the Stream,Rogers & Paron
54,Said I Love You. But I Lied,Michael Bolton
69,Surfin' U.S.A,Beach Boys
70,That's What Friends Are For,Dionne Warwick
72,GROOVY KIND OF LOVE,PHIL COLLINS
74,59th St. Bridge Song,S.R.Contreras
76,Tayong Dalawa,Rey Valera
77,I've Gotta Get A Message To You,Bee Gees
80,25 Minutes,Michael Learns To Rock
84,A Man Without Love,Engelbert Humperdinck
85,No More Rhyme,Debbie Gibson
86,Yakap-Yakap,Randy Santiago
93,Tanging Mahal,Regine Velasquez
94,Gaano Ko Ikaw Kamahal,Celeste Legaspi
96,Rain,Donna Cruz
97,Inaamin Ko Na,April Boy Regino
98,Special Memory,Odette Quesada
99,Nasaan Ka Kailangan Kita,April boY Regino
100,Nasaan Ka Kailangan Kita,April boY Regino
101,Why Can't It Be,Rannie Raymundo
103,Nosi Balasi,Sampaguita
106,You Are My Song,Regine Velasquez
107,BALAT-KAYO,ANTHONY CASTELLO
108,May Bukas Pa,Rico J. Puno
110,Pumapatak Ang Ulan,Apo Hiking Society
111,Ganyan Talaga Ang Pag-ibig,April Boy Regino
113,When I Met You,APO
114,Tunay Na Ligaya,Ariel Rivera
115,Boulevard Ng Pag-Ibig,Bert Dominic
119,"Isang Tanong, Isang Sagot",Donna Cruz
121,Kastilyong Buhangin,Basil Valdez
124,Nais Ko,Miguel Vera
126,Muling Mamahalin,Loui Heredia
129,Bakit Ba?,Siakol
130,Pag-Ibig Na Walang Dangal,Eva Eugenio
131,Hanggang Ngayo'y Ikaw Pa Rin,Jaya
132,Kung Puwede Lang Sana,White Lies
134,Tukso,Sunshine Cruz
136,Esperanza,April Boy Regino
139,Lagim,Siakol
140,Dahil Ba Sa Kanya,Jaya
144,Tayong Dalawa,Rey Valera
146,I Left My Heart in San Francisco,Tony Bennett
147,How Can You Mend,Bee Gees
148,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES
149,You Don't Have To Say You Love Me,Vic Damone
150,TENNESSEE WALTZ,PATTI PAGE
153,How Am I Supposed To Live Without You,Laura Branigan
154,The Most Beautiful Girl In The World,Prince
155,Regrets,Fra Lippo Lippi
156,NEW YORK NEW YORK,FRANK SINATRA
160,Tie A Yellow Ribbon Round The Old Oak Tree,Tony Orlando
163,Lucy In The Sky With Diamonds,The Beatles
165,Raindrops Keeps Fallin' On My Head,J. Thomas
166,Beautiful Sunday,Daniel Boone
168,Nothing's Gonna Change My Love For You,Glen Medeiros
170,I Just Can't Stop Loving You,Michael Jackson
173,MAY CRUSH AKO SA'YO,CINDERELLA
174,Reaching Out,Gary Valenciano
175,Tanging Mahal,Regine Velasquez
178,Mr. Kupido,Rachel Alejandro
180,Choto Matte Kudesai,Sex Bomb
184,I WILL FOLLOW HIM,PETULA CLARK
186,I'm Sorry,Brenda Lee
188,Johnny Angel,Shelly Fabaraes
202,Speak Softly Love,Andy Williams
203,Morning After,C. Davis
207,TO YOU,Leslie Chung
211,Young Love,Tab Hunter
214,Another Day In Paradise,Phil Collins
215,Glory Of Love,Peter Cetera
220,Sinayang Mo,Reigh Albert
225,FEEL LIKE MAKING LOVE,ROBERTA FLACK
227,Tie A Yellow Ribbon Round The Old Oak Tree,Tony Orlando
230,Surfin' U.S.A,Beach Boys
232,Only Remind Me Of You,St. Paul
234,Parting Time,Rockstar
237,Back In the USSR,Beatles
238,Farewell,Raymond Lauchengco
241,My Heart Will Go On,Celine Dion
245,Hanggang Sa Dulo Ng Walang Hanggan,Basil Valdez
250,Ang Aking Awitin,Side A
252,If You Asked Me To,Celine Dion
253,Lonely Is The Night,Air Supply
254,AKO AY IKAW RIN,NONOY ZUNIGA
255,My Happiness,Connie Francis
257,Someone That I Used To Love,Natalie Cole
258,You'll Never Walk Alone,Frank Sinatra
259,The Color Of The Night,Lauren Christy
260,The Minute Your Gone,Harry Ventura
261,Take A Chance,Abba
263,Thank You For The Music,Abba
264,I'LL BE SEEING YOU,BARRY MANILOW
266,All At Once,Whitney Houston
267,Because Of Love,Menudo
268,Lunatic,Gazebo
270,Please be Good to Me,Menudo
271,I WANNA DO IT WITH YOU,Barry Manilow
272,Some People,Fra Lippo Lippi
274,WHENEVER I CALL YOU FRIEND,KENNY LOGGINS & STEVIE NICKS
275,One Moment In Time,Whitney Houston
