54,Said I Love You. But I Lied,Michael Bolton
55,Can't Fight This Feeling Anymore,Reo Speedwagon
170,I Just Can't Stop Loving You,Michael Jackson
241,My Heart Will Go On,Celine Dion
276,Straight From The Heart,Bryan Adams
336,Dream On,Aerosmith
346,ALL BY MYSELF,Eric Carmen
459,IS THIS LOVE,WHITE SNAKE
463,Bed Of Roses,Bon Jovi
498,All The Man That I Need,Whitney Houston
507,Run To You,Whitney Houston
542,Urong-Sulong,Regine Velasquez
588,Till Death Do Us Part,White Lion
673,HEAVEN KNOWS,RICK PRICE
680,I Have Nothing,Whitney Houston
818,Another Day,Paul McCartney
874,I Want To Know What Love Is,Foreigner
915,Still Loving You,Scorpions
959,In These Arms,Bon Jovi
980,Man In The Mirror,Michael Jackson
1020,Keep On Loving You,Reo Speedwagon
1028,You Are Not Alone,Michael Jackson
1047,Bulag Sa Katotohanan,Rachel Alejandro
1058,IKAW SANA,OGIE ALCASID
1199,Kay Tagal,Rachel Alejandro
1317,Amazing,Aerosmith
1422,Will You Be There,Michael Jackson
1469,I'll Always Love You,Michael Johnson
1482,Doors,Michael Johnson
1533,Wind Of Change,Scorpions
1538,I WON'T HOLD YOU BACK,TOTO
1602,Paalam Na,Rachel Alejandro
1625,Babe,Styx
1651,GOODBYE TO LOVE,THE CARPENTERS
1652,Didn't We Almost Have It All,Whitney Houston
1682,To Be With You,Mr. Big
2621,SING,THE CARPENTERS
2677,Right Here Waiting,Richard Marx
2741,Saving All My Love For You,Whitney Houston
2751,ALL OUT OF LOVE,AIR SUPPLY
2769,Everything I Do I Do It For You,Bryan Adams
2783,ALONE,HEARTS
2824,I Just Died In Your Arms Tonight,Cutting Crew
2842,No More Lonely Nights,Paul McCartney
2848,How Am I Supposed To Live Without You,Michael Bolton
2849,Wind Of Change,Scorpions
2850,I JUST CAN'T STOP LOVING YOU,MICHAEL JACKSON
2852,Ebony And Ivory,Paul McCartney And Stevie Wonder
2866,My Love,Paul McCartney
2937,Silent Lucidity,Queensryche
3026,The Greatest Love Of All,Whitney Houston
3044,ALL BY MYSELF,ERIC CARMEN
3048,Always,Bon Jovi
3049,Always Somewhere,Scorpions
3168,I Will Always Love You,Whitney Houston
3188,Kaya Ko Ba,Rachel Alejandro\
3198,Love Is A Wonderful Thing,Michael Bolton
3380,When The Children Cry,White Lion
3417,Exhale(Shoop Shoop Song),Whitney Houston
3420,Faithfully,Journey
3479,In The Summer Time,Duongo Jerry
3678,Two Out Of Three Ain't Bad,Meatloaf
3941,Making Love Out Of Nothing At All,Air Supply
4155,Waiting For A Girl Like You,Foreigner
4325,How Am I Supposed To Live Without You,Michael Bolton
4332,You Are Not Alone,Michael Jackson
4371,One Moment In Time,Whitney Houston
4376,I JUST CAN'T STOP LOVING YOU,MICHAEL JACKSON
4496,Heart Of The Country,Paul McCartney
4498,Here I Am,Air Supply
4523,I Don't Wanna Miss A Thing,Aerosmith
4597,LET ME ROLL IT,PAUL McCARTNEY
4599,LETTING GO,PAUL McCARTNEY
4697,PICASSO'S LAST WORDS,PAUL McCARTNEY
4698,PIPES OF PEACE,PAUL McCARTNEY
4707,PUT IT THERE,PAUL McCARTNEY
4785,THAT DAY IS DONE,PAUL McCARTNEY
4801,The One that You Love,Air Supply
4843,TUG OF WAR,PAUL McCARTNEY
4954,I'll Do Anything For Love,Meatloaf
5158,KAILANGAN KO'Y IKAW,REGINE VELASQUEZ
5279,The Love She Found In Me,Michael Johnson
5281,Tuwing Umuulan,Regine Velasquez
5413,Nothing Else Matters,Metallica
5429,Send Me An Angel,Scorpions
5474,When The Smoke Is Going Down,Scorpions
5702,She's Gone,Steel Heart
5749,All For Love,Brian Adams
5883,I LIVE MY LIFE FOR YOU,FIREHOUSE
5885,I was Born To Love You,Eric Carmen
5915,Dadalhin,Regine Velasquez
5916,HANGGANG NGAYON IKAW,OGIE ALCASID
6184,Day After Day,Badfingers
6294,Now And Forever,Richard Marx
6314,POWER OF LOVE,HUEY LEWIS
6386,Never Say Goodbye,BonJovi
6415,HONESTLY,HAREM SCAREM
6423,I Was Born To Love You,Eric Carmen
6541,BROKEN VOW,LARA FABIAN
6563,HANGGANG NGAYON IKAW,OGIE ALCASID
6569,I Live My Life For You,Firehouse
6854,Huwag Ka Lang Mawawala,Ogie Alcasid
6864,Hanggang,Wency Cornejo
7028,Without You,Badfinger
7046,ALONE,HEARTS
7073,Forever Is Not Enough,Sarah Geronimo
7205,Forever Is Not Enough,Sarah Geronimo
7475,Beth,Kiss
7986,Nice And Slow,Usher
8005,DONT CRY OUT LOUD,RACHEL ANN GO
8085,Your Love,Alamid
8132,Shine,Regine Velasquez
8145,How Could You Say You Love Me,Sarah Geronimo
8217,The Unforgiven,Metallica
8375,I Can Wait Forever,Air Supply
8448,I Care,Rachel Ann Go
8504,BAKIT,RACHEL ANN GO
8508,TWO LESS LONELY PEOPLE IN THE WORLD,AIR SUPPLY
8560,LIPS OF AN ANGEL,HINDER
8599,WHEN LOVE AND HATE COLLIDE,DEF LEPPARD
8853,Don't Say Goodbye,Rachel Ann Go
8863,THANK YOU FOR LOVING ME,BON JOVI
8872,I'll Be There For You,Bon Jovi
9072,LOVE CAN'T LIE,SARAH GERONIMO
9108,You And Me,Rachelle and Christian
9349,NO AIR,JORDIN SPARKS
9367,HEAVEN,WARRANT
9368,LOVE OF A LIFETIME,FIREHOUSE
9445,Superhuman,Chris Brown ft Keri Hilson
9466,Broken,Lifehouse
9566,SINO BA NAMAN AKO,Mau Marcelo
9705,MAY MINAMAHAL,Rachel Alejandro
9757,Halo,Beyonce
11039,When I Look At You,Miley Cyrus
11153,Neutron Star Collision(Love Is Forever),Muse
11333,The Only Exception,Paramore
11490,Just Take My Heart,Mr. Big
11569,Back To December,Taylor Swift
11761,Hold On To The Night,Richard Marx
11838,The Past,Jed Madela
14011,ALL THE MAN THAT I NEED,WHITNEY HOUSTON
14029,Man In The Mirror,Michael Jackson
14043,ALL OUT OF LOVE,AIR SUPPLY
15038,You And I,Scorpions
15169,When I'm With You,Sheriff
15197,Faithfully,Boyce Avenue
15360,More Than Words Can Say,Alias
15494,This Night Won't Last Forever,Michael Johnson
15495,Highway Don't Care,Tim McGraw ft. Taylor Swift and Keith Urban
15638,When I Look Into Your Eyes,Firehouse
15961,The Flame,Cheap Trick
16145,Listen To Your Heart,Roxette
16207,Narito Ako,Regine Velasquez
16596,Midnight Blue,Melissa Manchester
16647,Midnight Blue,Melissa Manchester
16678,Maabot Ka Lang,Orient Pearl
16933,I Don't Want To Live Without You,Foreigner
17429,Electric Avenue,Eddy Grant
17759,Sana'y Tumibok Muli,Klarisse De Guzman
17941,On The Wings Of Love,Regine Velasquez
17953,Maghihintay Ako,Jona
18079,Where Do Broken Hearts Go,Whitney Houston
18428,Only Love,Paul McCartney
18623,What About Love,Lemar
26082,I Look To You,Whitney Houston
26094,Akala Ko,uess
26330,All Too Well,Taylor Swift
26528,Skyscraper,Boyce Avenue ft. Megan Nicole
26603,Daughter Of Darkness,Tom Jones
26664,When I See You Smile,Bad English
26699,She's A Lady,Tom Jones
26807,Sinungaling Mong Puso,Sheryn Regis
26833,Under The Same Sun,Scorpions
26885,Holiday,Scorpions
27075,Ikaw Ay Ako,Klarisse with Morissette
