1,Roxanne,The Police
228,The Sign,Aace Of Base
242,SHA LA LA,DREAMHOUSE
283,I've Been Waitng For You,Guys Next Door
391,I Shot The Sheriff,Eric Clapton
595,English Man In New York,Sting
597,Baby I Love Your Way,Big Mountain
637,Boom Shak-A-Lak,Apache Indian
816,Obladi Oblada,Beatles
850,MOTHER OF MINE,JIMMY OSMOND
906,Rivers Of Babylon,Bonnie M.
1127,Long Hair,Weed
1333,De Do Do Do,The Police
1555,DAY-O,HARRY BELAFONTE
1903,ME VOY PA'L PUEBLO,LOS PANCHOS
2721,THOSE WERE THE DAYS,MARY HOPKINS
2875,No Woman No Cry,Bob Marley
2906,OBLADI OBLADA,BEATLES
2922,Montego Bay,Bobby Bloom
2938,DO YOU REALLY WANT TO HURT ME,CULTURE CLUB
2992,Working For The Weekend,Lover Boy
3110,Every Little Thing She Does Is Magic,The Police
3116,EXODUS,BOB MARLEY
3161,I Shot The Sheriff,Bob Marley
3184,Jammin',Bob Marley
3275,Three Little Birds,Bob Marley
3399,Don't Stand So Close To Me,The Police
3468,Here Comes The Hotstepper,Ini Kamoze
3486,I WANNA WAKE UP WITH YOU,BORIS GARDNER
3580,PURPLE HAZE,JIMI HENDRIX
3626,So Loney,Police
3633,SPIRITS IN THE..,THE POLICE
3634,Spirits In The Material World,Police
3667,The Sign,Aace Of Base
3685,Walking On The Moon,Police
3720,Wrapped Around Your Finger,Police
3802,De Do Do Do,The Police
4187,Can't Help Falling In Love,UB40
4189,Could You Be Loved,Bob Marley
4221,Is This Love,Bob Marley
4223,Island Girl,"B.Taupin, Elton John"
4236,PUNKY REGGAE PARTY,BOB MARLEY
4360,The Sign,Aace Of Base
4806,The Sign,Aace Of Base
5176,Mambo No 5,Lou Bega
5221,Waiting In Vain,Bob Marley
5270,Modelong Charing,Blak Dyak
5405,ONE LOVE PEOPLE GET READY,BOB MARLEY
5438,No Woman No Cry,Bob Marley
5506,MANILA GIRL,PUT3SKA
5543,It Wasn't Me,Shaggy
5717,HAYOP NA COMBO,BLAKDYAK
5823,I CROSS MY HEART,GEORGE STRAIT
5851,Say A Little Prayer,Diana King
5911,Who Let The Dogs Out,Baha Men
6130,Namumuro Ka Na,Lukas
6410,EVERYBODY PLAYS A FOOL,AARON NEVILLE
6557,DILEMMA,NELLY
6646,When You Believe,Mariah Carey
6705,Namumuro Ka Na,Lukas
7006,Nakapagtataka,Jim Paredes
7122,Here Comes The Hotstepper,Ini Kamoze
7203,Don't Worry Be Happy,Robert Mcferrin
7211,I WANNA WAKE UP WITH YOU,BORIS GARDNER
7360,BABY BOY,BEYONCE
7526,The Tide Is High,Blondie
7687,HEY SEXY LADY,SHAGGY
7781,Kung Ako Ay Mag-Aasawa,Miles
7842,Family Affair,Mary J. Blige
7940,MoonChild,Iron Maiden
8235,Gasolina,Daddy Yankee
8250,Maling Akala,Brownman Revival
8277,Don't Cha Wanna Ride,Joss Stone
8310,Lintik,Brownman Revival
8382,Waiting In Vain,Bamboo
8478,Kalabit Penge,Wally And Jose
8497,Babaeng Uy Ay,"Brownman Revival, Up Dharma Down, Sugarfree"
8500,STARS ARE BLIND,PARIS HILTON
8534,SHY GUY,DIANA KING
8535,RICH GIRL,GWEN STEFANI
8540,NOTHING IN THIS WORLD,PARIS HILTON
8569,ROCK STEADY,ALL SAINTS
8602,EVERYTHING,MICHAEL BUBLE
8768,Type na Type Kita,Ilocano Song
8807,Istambay,Enchi
8835,DON'T MATTER,AKON
8885,BILOG NA NAMAN ANG BUWAN,TROPICAL DEPRESSION
8896,Kapayapaan,Tropical Depression
8897,Diwata,Brownman Revival
8966,Reggae Fever,Brownman Revival
9068,Kaligayahan Natin,Tribe Of Levi
9150,GoodBoy,Blakdyak
9224,BINIBINI,BROWNMAN REVIVAL
9280,Take You There,Sean Kingston
9382,Midinite Special,Jeepney Joyride
9667,Boracay Ang Isla Ko,Father & Sons
9702,LOVE LETTER,Kitchie Nadal
9707,Minsan Lang,Martin Nievera
9935,London,Lilly Allen
9951,Mr. Boombastic,Shaggy
10033,Baboy,Enchi
10040,Baso,Enchi
10044,Bayot Diay,Enchi
10135,Istambay,Enchi
10191,Mapul-Anon,Wetslippers
10216,Ngano,Enchi
10511,AGSUBLIKAN,Lea Dansalan
11040,Hitik Sa Bunga,Brownman Revival
11074,Replay,Iyaz
11185,Simulan Na Natin,Kenyo ft HI-C
11344,Wavin' Flag,K'naan
11448,Thingking Of Me,Olly Murs
11460,Please Don't Let Me Go,Olly Murs
11537,Song For The Suspect,Franco
11591,Solo,Iyaz
11718,Castaway,Franco
11719,Touch The Sky,Franco
11763,Man Down,Rihanna
11810,Last Forever,Iyaz
11913,Ikaw Lang Ang Aking Mahal,Brownman Revival
12323,FOR THIS CAUSE,Joel Houston
12478,"HOW GREAT, HOW GLORIOUS",Martin J. Nystrom
12594,IN THE PRESENCE,Mark Altrogge
12597,In Your Darkest Hour,"Mark Lopez, Paulo Tirol"
12871,O Give Thanks,Mark Chopinsky
12946,Panunumpa,Jboy Gonzales SJ
15077,One More Night,Maroon 5
15100,Bitin,Brownman Revival
15107,Every Little Thing He Does Is Magic,M.Y.M.P.
15201,Run,Kitchie Nadal
15232,Want You To Cry Too,Keno
15314,Santeria,Sublime
15321,Amber,311
15387,Better Days,Franco
15405,Suit And Tie,Justin Timberlake
15521,Island Called Boracay,Ferns Tosco
15589,If Only,Lea Salonga
15616,Underneath It All,No Doubt
15712,Feeling Good,Michael Buble
15759,Wag Na Lang,Beating The Red Lights
15879,To Survive,Franco
15889,Ibong Ligaw,Juana Cosme
15922,Pinakamagandang Tanawin,Brownman Revival
16045,Buffalo Soldier,Bob Marley & The Wailers
16046,Walang Kasing Sarap,Brownman Revival
16047,Can't Remember To Forget You,Shakira ft Rihanna
16055,Didn't We,Matt Monroe
16107,Love Song,311
16117,Paniwalaan,Brownman Revival
16167,Me And My Broken Heart,Rixton
16185,First True Love,Kolohe Kai
16311,Rude,Magic
16718,Let Your Hair Down,Magic
16782,Red Red Wine,UB40
16805,Redemption Song,Bob Marley
16956,One Day,Matisyahu
17041,Cheerleader (Felix Jaehn Remix),OMI
17056,You've Got A Friend,James Taylor
17057,Moonset,Franco
17202,Coconut Tree,Mohombi ft Nicole Scherzinger
17207,Do It Again,Pia Mia ft Chris Brown
17316,Ginza,J Balvin
17323,Coco Jamboo,Mr. President
17356,Dahan-Dahan,Brownman Revival
17524,Hula Hoop,OMI
17637,Home,Michael Buble
17724,I Found A Girl,The Vamps ft OMI
17943,Beautiful Disaster,311
17991,Cool Down,Kolohe Kai
18088,Body Rock,Maria Vidal
18128,All In My Head,Fifth Harmony ft Fetty Wap
18130,Lifted,CL
18165,Tenderness,General Public
18234,One Away,Sean Kingston
18270,Softly As I Leave You,Matt Monroe
18328,Hold Up,Beyonce
18420,I Write Sins Not Tragedy,Panic At The Disco
18554,My Boy Lollipop,Millie Small
18557,Noon At Ngayon,Blakdyak
18583,Aking Ama,Lil Coli
18616,Informer,Snow
18625,All Night,Beyonce
18660,"Sorry Na, Pwede Ba",Brownman Revival
18820,Swalla,jason Derulo ft Nicki Minaj & TY Dolla Sign
18861,Safe And Sound,Rebelution
18881,Under The Reggae Moon,Brownman Revival
18929,Despacito,"Luis Fonsi, Daddy Yankee ft. Justin Bieber"
26105,I Want To Wake Up With You,Boris Gardiner
26200,You Stole My Heart Away,Big Mountain
26367,Raggamuffin Girl,Apache Indian ft Frankie Paul
26882,Nandito,Brownman Revival
26995,Jeggae,Brownman Revival
27029,One Day,Bugoy Drilon
27113,Move To Miami,Enrique Iglesias
27128,Pag-asa,Chocolate Factory ft Sinio
27142,Ilalim,Chocolate Factory
27200,Bailando (English),"Enrique Iglesias ft Sean  Paul,  Descemer Bueno, Gente de Zona"
27248,Reggaeton Lento (Remix),"CNCO, Little Mix"
27276,Letra,Chocolate Factory
27287,Se Vuelve Loca,CNCO
27401,Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna & Cardi B"
27434,MIA,Bad Bunny ft. Drake
27466,Woman Like Me,Little Mix ft. Nicki Minaj
27583,Con Calma,Daddy Yankee & Snow
27637,Dito Na Lang,Bugoy Drilon
27672,Badfish,Sublime
27729,Aurora Sunrise,Franco
27797,He Like That,Fifth Harmony
27845,Gugma Nga Giatay,Enchi
27859,Kagahapon,Brain Damage
27949,First Kiss,Mandaue Nights
28052,Only Human,Jonas Brothers
28056,Amor Genuino,Ozuna
28059,So Big,Iyaz
28130,Pure Water,"Mustard, Migos"
28345,Diksyonaryo,The Chongkeys
28366,Tutu,"Shakira, Camilo, Pedro Capo"
28377,So High,Sojah
28433,De Cero,CNCO
28587,Lord,Chocolate Factory
28812,Savage Love,Jason Derulo
28829,Dahil Mahal Kita,Chocolate Factory
28978,For My Dearly Departed,Franco
29115,Aeta Warrior,Baguio Gold
29131,Dumito Ka Muna,Hulo
29170,OK,Iyaz
29217,Speechless,Kolohe Kai
29269,Baby Girl,Arcos Aloy Ar-R & Tyrone
29389,"Bulanghoy, Gabi, Saging, Kamote",D' Double B
29425,YOU AND ME,Marc E. Bassy
29505,Let Me Reintroduce Myself,Gwen Stefani
29528,Cold As You,Luke Combs
29677,Slow Clap,Gwen Stefani ft Saweetie
29708,Tubig Alat,Engkanto
29784,Pangaku,Sasa Buenaventura
29803,Ika Mu,Mark Jedh Yutuc
29978,I Beg Your Pardon,Kon Kan
38090,Dura,Daddy Yankee
38091,Shaky Shaky,Daddy Yankee
38116,Dream Girl,Kolohe Kai
38118,Genuine Love,Kolohe Kai
38162,999,"Selena Gomez, Camilo"
38181,Celebrate,Rebelution
38228,Salud y Vida,Daddy Yankee
38264,Die For You,Justin Bieber
38278,Is This Love,Kolohe Kai
38310,Love Not War,Jason Derulo
38341,Mahal Kita Alam Mo Ba,Jerome John Hughes
38344,Roots Reggae Music,Rebelution
38349,Tabi-tabi Po,JMKO
38352,Kung Ika'y Akin,Chocolate factory
38478,Boliviaz Redeem,Lexpraa Stylah
38532,Sa Pumipili,Brownman Revival
38650,Usok,Chocolate Factory
38780,Sigue,J Balvin & Ed Sheeran
39026,Seasons,Franco
39066,Anytime,"Lipip ft. Asiong De Luna,esseca"
39095,"Oh, Jo",Magnus Haven
39146,One Drop,Bob Marley and the Wailers
39170,All 4 Nothing,Lauv
39327,Trumpets,Sak Noel & Salvi ft. Sean Paul
39606,Ballerina,MAGIC
39654,We Caa Done,Popcaan ft. Drake
39679,Attention Span,Rebelution
39680,Feeling Alright,Rebelution
39821,Bogsa,Benidic Fragata X Archico
39882,Habang Ako'y Nabubuhay,Sanshai
40058,Medication,Damian Marley ft. Stephen Marley
40068,Welcome to My Paradise,Steven & Coconuttreez
40260,Bonbon,Era Istrefi
40401,Homecoming,James Arthur
40511,Lil Kasalanan Shortie,Hev Abi
40541,Bulletproof,Jamie Fine
40628,Forever Single,Shaira
40715,drunk text,Henry Moodie
40741,Rompe,Daddy Yankee
40811,Selos Na Friend,Shaira
40863,Sabog,Repablik Reggae
41001,TONIGHT,Chocolate Factory ft. JRoa
41018,Akon's Beautiful Day,Akon
41021,Chantaje,Shakira ft. Maluma
41029,Make Me Happy,Jason Derulo & Jawsh 685
41115,I Don't Want To Talk About It,Chocolate Factory
