8,Groovin',Young Rascals
10,Mustang Sally,Wilson Pickett
24,All The Way,Jeffrey Osborne
26,As Long As He Needs Me,Anita Bryant
32,Don't Make Me Over,Dionne Warwick
43,Do You Know The Way To San Jose,Dionne Warwick
44,She's Out Of My Life,Michael Jackson
57,I'll Never Love This Way Again,Dionne Warwick
70,That's What Friends Are For,Dionne Warwick
74,59th St. Bridge Song,S.R.Contreras
92,1999,Prince
131,Hanggang Ngayo'y Ikaw Pa Rin,Jaya
135,Wala Na Bang Pag-ibig,Jaya
140,Dahil Ba Sa Kanya,Jaya
154,The Most Beautiful Girl In The World,Prince
162,The First Time Ever I So Your Face,Roberta Flack
183,ESCAPADE,JANET JACKSON
189,Killing Me Softly With His Song,Roberta Flack
191,Le Freak,Chic
192,Listen To The Music,Doobie Brothers
193,LITTLE DARLIN',MAURICE WILLIAMS
225,FEEL LIKE MAKING LOVE,ROBERTA FLACK
231,Lady Love,Lou Rawls
236,YOU'LL NEVER FIND ANOTHER LOVE LIKE MINE,LOU RAW
246,ALWAYS AND FOREVER,HEATWAVE
247,Truly,Lionel Richie
252,If You Asked Me To,Celine Dion
257,Someone That I Used To Love,Natalie Cole
266,All At Once,Whitney Houston
278,I MISS YOU,KLYMAXX
281,The Sweetest Days,Vanessa Williams
285,WHISPERING WAVES,Donna Summer
306,Dahil Ba Sa Kanya,Jaya
313,Remember Me,Renz Verano
330,2 BECOME 1,SPICE GIRLS
332,FOR YOU I WILL,MONICA
335,Can We Talk,Code Red
338,How Could An Angel Break My Heart,Toni Braxton & Kenny G.
340,I Could Fall In Love,Selena
347,I'll Never Break Your Heart,Backstreet Boys
364,Tonight I Celebrate My Love,Peabo Bryson &
369,YESTER ME YESTER YOU YESTER DAY,STEVIE WONDER
377,Break It To Me Gently,Angela Boffil
379,Three Times A Lady,Lionel Richie
385,Lead Me On,Al Green
393,Hold On I'm Coming,Sam And Dave
408,LOVE ME DO,BEATLES
413,The First Time Ever I So Your Face,Roberta Flack
419,DRIVE MY CAR,BEATLES
423,GOT TO GET YOU INTO MY LIFE,BEATLES
442,GEORGIA ON MY MIND,RAY CHARLES
460,IN THE GHETTO,ELVIS PRESLEY
474,Lean On Me,Michael Bolton
496,Miracle,Whitney Houston
498,All The Man That I Need,Whitney Houston
504,DYING INSIDE TO HOLD YOU,TIMMY THOMAS
505,Stars,Simply Red
507,Run To You,Whitney Houston
509,By The Time This Night,Peabo Bryson
510,Number Two,Joe
520,ANYTIME,THE JETS:
522,MUSIC BOX,MARIAH CAREY
535,Again,Janet Jackson
542,Urong-Sulong,Regine Velasquez
560,If This Is Love,Melissa Manchester
567,Heart Of Mine,Bobby Caldwell
574,Always In My Heart,Tevin Campbell
581,MAKE IT RIGHT,LISA STANSFIELD
582,Someones Rockin',Natalie Cole
596,I Swear,All 4 One
606,Close To Heaven,Color Me Badd
624,EASY,LIONEL RICHIE
644,Hey Mr. DJ,Zhane
654,That's The Way Love Goes,Janet Jackson
667,One Last Cry,Bryan McKnight
668,Get Here,Oleta Adams
677,The Best Thing That Ever Happened,Gladys Knight and the Pips
680,I Have Nothing,Whitney Houston
683,Rock With You,Michael Jackson
693,This Time I Know Is Forever,Errol Brown
702,WITHOUT LOVE,ENGELBERT HUMPERDINCK
706,How Sweet It Is (To Be Loved By You),James Taylor
712,Baby Come To Me,Patti Austin
714,Knock On Wood,Eddie Floyd
718,It's My Turn,Diana Ross
721,Through The Fire,Chaka Khan
722,Cry For Help,Rick Ashley
723,Time & Chance,Color Me Badd
728,All Behind Us Now,Patti Austin
737,All For Love,Color Me Badd
745,You Make Me Feel Brand New,Stylistics
746,Till My Heartaches End,Ella Mae Saison
754,SOMETHING GOT ME STARTED,Simply Red
755,SO NATURAL,Lisa Stansfield
758,Take A Bow,Madonna
759,Tears On My Pillow,The Imperials
769,WHAT'S LOVE GOT TO DO WITH IT,TINA TURNER
770,The Woman In My Life,The Commodores
771,Would I Lie To You,Annie Lennox
773,You're The Best..,Skool Boys
774,Someday,Mariah Carey
775,I Want You,Elvis Presly
785,I HEARD IT THROUGH THE GRAPEVINE,MARVIN GAYE
791,ALL NIGHT LONG,LIONEL RITCHIE
798,The Closer I Get To You,R. Flack
824,Gimme Some Lovin',Spencer Davis
839,(YOU'VE GOT) THE MAGIC TOUCH,THE PLATTERS
873,I Second That Emotion,Smokey Robinson
875,I'll Be There,Jackson 5
878,Knife,Rockwell
903,Private Dancer,Tina Turner
907,Raspberry Beret,Prince
920,Tonight,Alex E.
928,Sir Duke,Stevie Wonder
941,PAPA'S GOT A BRAND NEW BAG,JAMES BROWN
942,Funky Broadway,Lester Chrisitan
944,Devil With A Blue Dress On,Mitch Ryder
951,That's What Friends Are For,Dionne & Friends
962,You On My Mind,Swing Out Sisters
964,When I Die,Milli Vanilli
967,Better Days,Diane Reeves
972,Holding Back The Years,Simply Red
985,Thanks To You,Tyler Collins
987,Vision Of Love,Mariah Carey
991,AFTER THE LOVE HAS GONE,EARTH WIND AND FIRE
994,Because You Love Me,Celine Dion
1002,Dream About You,Stevie B.
1011,GOOD TO BE BACK,NATALIE COLE
1015,I Can Love You Like That,All-4-One
1024,More Than You'll Ever Know,Michael Ruff
1025,More Than A Woman,Bee Gees
1028,You Are Not Alone,Michael Jackson
1031,ONE SHINING MOMENT,DIANA ROSS
1035,SHOWER ME WITH YOUR LOVE,SURFACE
1037,Smooth Operator,Sade
1050,IF THE FEELING IS GONE,ELLA MAY SAISON
1058,IKAW SANA,OGIE ALCASID
1064,KASALANAN BA?,MEN OPPOSE
1111,PAIN IN MY HEART,Ella Mae Saison
1164,Iniibig Kita,Wadab
1294,THANK YOU FOR LOVING ME,JANET BASCO
1315,Alam Mo Ba,Vina Morales
1327,BREATHE AGAIN,TONI BRAXTON
1330,CAN'T CRY HARD ENOUGH,WILLIAM BROTHERS
1341,Dream Lover,Mariah Carey
1399,Another Sad Love Song,Toni Braxton
1404,STARDUST,BILLY WAYWARD
1415,TWILIGHT TIME,A. DUNU
1431,YOU MEAN THE WORLD TO ME,TONI BRAXTON
1439,FANTASY,EWF
1464,PASKO NA NAMAN,JANET BASCO
1470,Always,Atlantic Star
1502,YOUR LOVE IS KING,SADE
1504,I'll Make Love To You,Boys II Men
1509,MY PRAYER,THE PLATTERS
1512,Goodnight Girl,Wet Wet Wet
1536,WHAT'S GOING ON,MARVIN GAYE
1542,Breakout,Swing Out Sister
1545,ALMAS,RANDY CRAWFORD
1549,On Bended Knees,Boys II Men
1586,LOVE ME,ELVIS PRESLEY
1595,The Most Beautiful Girl,Prince
1600,Bakit Ngayon Ka Lang,Freestyle
1607,SECRET,MADONNA
1633,Do You Know Where Your Going To,Diana Ross
1640,Baby I Need Your Loving,THE FOUR TOPS
1645,Half Crazy,Johnny Gil
1652,Didn't We Almost Have It All,Whitney Houston
1655,In The Still Of The Night,Five Satins
1659,DON'T,ELVIS PRESLEY
1691,WHO IS IT,MICHAEL JACKSON
1710,Just Once,James Ingram
1713,Touch Me In The Morning,Diana Ross
1720,ALFIE,DIONNE WARWICK
1725,You To Me Are Everything,The Real Thing
1729,YOU'LL NEVER FIND ANOTHER LOVE LIKE MINE,LOU RAW
1730,BEEN AROUND THE..,LIZA STANSFIELD
1733,THE GREAT PRETENDER,THE PLATTERS
1741,Iniibig Kita,Wadab
1744,I GOT A GIRLFRIEND,JAY R.
1752,Farewell,Jay R.
1753,First Kiss,Nina
1759,Bakit Pa Ba,Jay-R
1767,Better Man,Ogie Alcasid
1768,All I Need,Jay R.
1786,Someone That I Used To Love,Natalie Cole
1798,Aangkin Sa Puso Ko,Vina Morales
1830,OUT OF REACH,GABRIELLE
1834,When You Look At Me,Christina Millian
1851,Thank God I Found You,Mariah Carey
1852,HE WASN'T MAN ENOUGH,TONI BRAXTON
2122,LA CARCACHA,SELENA
2338,BAILA ESTA CUMBIA,SELENA
2546,Careless Whisper,George Michael
2560,End Of the Road,Boys II Men
2561,Endless Love,Lionel Richie & D. Ross
2564,The First Time Ever I So Your Face,Roberta Flack
2582,I Can't Stop Loving You,Ray Charles
2589,I Just Called To Say I Love You,Stevie Wonder
2591,Kiss And Say Goodbye,The Manhattans
2592,Killing Me Softly With His Song,Roberta Flack
2639,THIS MASQUERADE,LEON RUSSELL
2715,Say You Say Me,Lionel Richie
2722,REACHIN' OUT,BEE GEES
2725,Smoke Gets In Your Eyes,The Platters
2728,ONE MORE TRY,GEORGE MICHAEL
2740,When Will I See You Again,The Three Degrees
2741,Saving All My Love For You,Whitney Houston
