2,SULTANS OF SWINGS,DIRE STRAITS,,
4,I Love Rock And Roll,Joan Jett,,
12,Ballad Of John & Yoko,Beatles,,
13,"Paint It, Black",The Rolling Stones,,
14,Jumping Jack Flash,Rolling Stones,,
17,Baby You're A Rich Man,Beatles,,
23,St. Elmo's Fire,John Farr,,
28,Till They Take My Heart Away,Claire Marlo,,
30,Breaking Up Is Hard To Do,N. Sedaka,,
49,Woman,John Lennon,,
50,Bad Girls,Donna Summer,,
59,Joy to the World,Three Dog Night,,
63,COTTON FIELDS,CCR,,
75,A Hazy Shade of Winter,Bangles,,
81,A Big Hunk of Love,Elvis Presley,,
86,Yakap-Yakap,Randy Santiago,,
89,18 and Life,Skidrow,,
90,25 OR 6 TO 4,CHICAGO,,
92,1999,Prince,,
102,Kasalanan,Orient Pearl,,
103,Nosi Balasi,Sampaguita,,
105,Next In Line,After Image,,
109,Pagtawid,After Image,,
116,Pag-ibig Ko Sa'yo'y Di Magbabago,Men Oppose,,
120,Laki Sa Layaw,Mike Hanopol,,
122,LAKLAK,THE TEETH,,
139,Lagim,Siakol,,
151,Mahal Na Mahal Kita,Aegis,,
164,Spring Summer Winter and fall,Aphrodite's Child,,
168,Nothing's Gonna Change My Love For You,Glen Medeiros,,
172,Strong Enough,Sheryl Crow,,
185,I'm A Believer,Neil Diamonds/The Monkees,,
187,Indian Reservation,Paul Revere,,
192,Listen To The Music,Doobie Brothers,,
193,LITTLE DARLIN',MAURICE WILLIAMS,,
195,Nights In White Satin,Moody Blues,,
197,One,Three Dog Knight,,
199,Romeo And Juliet,Dire Strait,,
211,Young Love,Tab Hunter,,
212,Solitary Man,Neil Diamond,,
215,Glory Of Love,Peter Cetera,,
216,Hold The Line,Toto,,
218,Jump,Van Halen,,
223,Line To Heaven,Introvoys,,
233,Money For Nothing,Dire Strait,,
237,Back In the USSR,Beatles,,
248,CATHY'S CLOWN,EVERLY BROTHERS,,
256,Walk Right Back,Everly Brothers,,
276,Straight From The Heart,Bryan Adams,,
287,Can't We Try,Dan Hill and Vonda Shepard,,
289,Don't Talk To Strangers,Rick Springfield,,
291,Oh My Love,John Lennon,,
307,Elesi,Rivermaya,,
336,Dream On,Aerosmith,,
354,MOONLIGHT FLOWER,MICHAEL CREATU,,
357,Suzie Q,CCR,,
358,STORMY MONDAY,ALLMAN BROTHERS,,
374,ABACAB,GENESIS,,
375,Bad Case Of Loving You,Robert Palmer,,
381,CARRIE,EUROPE,,
384,JANE,JEFFERSON STARSHIP,,
388,SYMPATHY,RAREBIRD,,
390,Before The Dawn,Judas Priest,,
391,I Shot The Sheriff,Eric Clapton,,
392,I Get Around,Beach Boys,,
394,HELLO I LOVE YOU,DOORS,,
395,HEARTBREAK HOTEL,ELVIS PRESLEY,,
396,Hang on Sloopy,Rick Derringer,,
397,Good Molly Miss Molly,Little Richard,,
398,"Girl, you'll Be A Woman Soon",Neil Diamonds,,
399,Jail House Rock,Elvis Presley,,
400,LOVE ON THE ROCKS,NEIL DIAMOND,,
402,"SPRING, SUMMER WINTER AND FALL",APHRODITE'S CHILD,,
408,LOVE ME DO,BEATLES,,
414,House Of The Rising Sun,Animals,,
416,I'M ON FIRE,BRUCE SPRINGSTEEN,,
418,Lookin' Out My Back,CCR,,
419,DRIVE MY CAR,BEATLES,,
420,ELEANOR RIGBY,BEATLES,,
421,Get Back,The Beatles,,
422,Good Day Sunshine,Beatles,,
423,GOT TO GET YOU INTO MY LIFE,BEATLES,,
424,HERE COMES THE SUN,BEATLES,,q
427,LUCY IN THE SKY WITH DIAMONDS,BEATLES,,
428,NORWEGIAN WOOD,BEATLES,,
429,Paper Back Writer,The Beatles,,
432,Do You Wanna Dance,Mamas & The Papas,,
434,SHE'S A LADY,RICHARD SANDERSON,,
435,Addicted To Love,Robert Palmer,,
436,COMING UP,WINGS,,
437,DAYDREAM BELIEVER,THE MONKEES,,
438,Don't Be Cruel,Elvis Presley,,
439,BIG GIRLS DON'T CRY,FOUR SEASONS,,
440,BE BOP A LULA,GENE VINCENT,,
441,HONKY TONK WOMEN,THE ROLLING STONES,,
443,Great Balls Of Fire,Jerry Lewis,,
444,Lodi,CCR,,
450,Under my Thumb,Rolling Stones,,
451,Tutti Frutti,Little Richard,,
453,TEDDY BEAR,ELVIS PRESLEY,,
455,ONE OF THESE NIGHTS,Henley Frey,,
456,MY HOMETOWN,BRUCE SPRINGSTEEN,,
466,Faithful,Go West,,
472,Sometimes Love Just Ain't Enough,Patty Smith,,
476,However Which Way,Introvoys,,
477,Stupid Cupid,Connie Francis,,
479,Put Your Head On My Shoulder,Paul Anka,,
485,Salamat,The Dawn,,
487,GIVE ME THE NIGHT,THE DAWN,,
488,THE REASON WHY,JOHN FARNHAM,,
495,Tuloy Pa Rin,Randy Santiago,,
511,Break It Down Again,Tears For Fears,,
512,All I Want,Toad The Wet Sprocket,,
513,Creep,Radiohead,,
514,People Are Strange,Doors,,
532,What's Up,4 Non Blondes,,
539,EVERYBODY WANTS TO RULE THE WORLD,TEARS FOR FEARS,,
541,HEAD OVER HEELS,TEARS FOR FEARS,,
544,Kiss,Tom Jones,,
556,SPICKS AND SPECKS,THE BEE GEES,,
568,Too Much Love Will Kill You,Brian May,,
573,I Want To Break Free,Queen,,
587,Something To Say,Harem Scarem,,
598,STAY (I MISSED YOU,LIZA LOEB,,
614,THE MORE YOU IGNORE ME,MORRISSEY,,
617,Please Mr. Postman,Carpenters,,
618,THE POWER OF LOVE,CELINE DION,,
622,Tag-ulan,After Image,,
635,Baby I Don't Care,Elvis Presley,,
643,Good Luck Charm,Elvis Presley,,
657,Muntik Ng Maabot Ang Langit,True Faith,,q
662,WHY DO FOOLS FALL IN LOVE,FRANKIE LYNON,,
663,SEPTEMBER MORN',NEIL DIAMOND,,
669,Footloose,Kenny Loggins,,
689,I COULD EASILY FALL IN LOVE,CLIFF RICHARD,,
694,The Next Time I Fall,Peter Cetera And Amy Grant,,
701,Two Steps Behind,Def Leppard,,
706,How Sweet It Is (To Be Loved By You),James Taylor,,
708,I Can See Clearly..,Hothouse Flowers,,
727,First Time,Styx,,
741,Leader Of The Band,Dan Fogelberg,,
749,Mahal Na Mahal Kita,Aegis,,
750,POOR BOY,ELVIS PRESLEY,,
751,"WHEN IT RAINS, IT REALLY POURS",ELVIS PRESLEY,,
752,Smoke On The Water,Deep Purple,,
761,THE LOGICAL SONG,SUPERTRAMP,,
767,WEAR MY RING AROUND...,ELVIS PRESLEY,,
775,I Want You,Elvis Presly,,
784,AN OLD FASHIONED LOVE SONG,TREE DOG NIGHTS,,
800,Do You Think I'm Sexy,Rod Stewart,,
802,All I've Got To Do,BEATLES,,
803,OLD TIME ROCK AND ROLL,BOB SEEGER,,
805,EYE OF THE TIGER,SURVIVOR,,
806,Can't Help Fallin' I Love With You,Elvis Presley,,
809,LIGHT MY FIRE,DOORS,,
812,LAYLA,ERIC CLAPTON,,
816,Obladi Oblada,Beatles,,
819,BAD MOON RISING,J.C FOGETTY,,
