#,Title,Artist,opm,english,k-pop,rock,slow rock,alternative,country,pop,edm/techno,hiphop/rap,rnb/soul,love song,power ballad,reggae/ska,novelty,folk,,
1,Roxanne,The Police,,q,,,,,,,,,,,,q,,,,
2,SULTANS OF SWINGS,DIRE STRAITS,,q,,q,,,,,,,,,,,,,,
3,BLACKBIRD,THE BEATLES,,q,,,,,,q,,,,,,,,,,
4,I Love Rock And Roll,Joan Jett,,q,,q,,,,,,,,,,,,,,
5,I Wanna Dance With Somebody,Whitney Houston,,q,,,,,,q,q,,,,,,,,,
6,Mona Lisa,Nat King Cole,,q,,,,,,q,,,,q,,,,,,
7,Tie A Yellow Ribbon..,Tony Orlando,,q,,,,,,q,,,,,,,,,,
8,Groovin',Young Rascals,,q,,,,,,q,,,q,,,,,,,
9,Good Vibartions,Beach Boys,,q,,,,,,q,,,,,,,,,,
10,Mustang Sally,Wilson Pickett,,q,,,,,,,,,q,,,,,,,
11,Lady Lay,Groscolas Pierre,,,,,,,,q,,,,,,,,,,
12,Ballad Of John & Yoko,Beatles,,q,,q,,,,q,,,,,,,,,,
13,"Paint It, Black",The Rolling Stones,,q,,q,,,,,,,,,,,,,,
14,Jumping Jack Flash,Rolling Stones,,q,,q,,,,,,,,,,,,,,
15,Goodbye,Air Supply,,q,,,,,,q,,,,,,,,,,
16,If Love Is Blind,Tiffany,,q,,,,,,q,,,,,,,,,,
17,Baby You're A Rich Man,Beatles,,q,,q,,,,q,,,,,,,,,,
18,The First Noel,Christmas Song,,,,,,,,,,,,,,,,,,
19,Everybody Loves Somebody Sometimes,Dean Martin,,q,,,,,,q,,,,,,,,,,
20,I Could Have Danced All Night,Paula Mesina,,q,,,,,,,,,,,,,,,,
21,Hark The Herald Angels Sing,Christmas Song,,,,,,,,,,,,,,,,,,
22,Frosty The Snowman,Christmas Song,,,,,,,,,,,,,,,,,,
23,St. Elmo's Fire,John Farr,,q,,q,,,,,,,,,,,,,,
24,All The Way,Jeffrey Osborne,,q,,,,,,,,,q,,,,,,,
