27,Could It Be Magic,Barry Manilow
44,She's Out Of My Life,Michael Jackson
49,Woman,John Lennon
54,Said I Love You. But I Lied,Michael Bolton
64,HE AIN'T HEAVY HE'S MY BROTHER,Hollies
65,I Won't Last A Day Without You,Carpenters
76,Tayong Dalawa,Rey Valera
77,I've Gotta Get A Message To You,Bee Gees
80,25 Minutes,Michael Learns To Rock
85,No More Rhyme,Debbie Gibson
88,A Horse With No Name,Daryll Hall
102,Kasalanan,Orient Pearl
129,Bakit Ba?,Siakol
144,Tayong Dalawa,Rey Valera
147,How Can You Mend,Bee Gees
148,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES
165,Raindrops Keeps Fallin' On My Head,J. Thomas
169,Have I Told You Lately,Rod Stewart
170,I Just Can't Stop Loving You,Michael Jackson
217,I'M NOT IN LOVE,10CC
226,Foolish Heart,Steve Perry
229,Love,John Lennon
234,Parting Time,Rockstar
252,If You Asked Me To,Celine Dion
276,Straight From The Heart,Bryan Adams
280,Jealous Guy,John Lennon
288,Do I Have To Say The Words,Bryan Adams
291,Oh My Love,John Lennon
292,Never Thought,Dan Hill
293,Send Me Your Pillow,Jolina Magdangal
310,IT HURTS ME MORE,ROCKSTAR 2
315,Aking Minahal,Rockstar 2
326,Mahal Kita Alam Mo Ba,Rockstar
331,For The First Time,Kenny Loggins
336,Dream On,Aerosmith
346,ALL BY MYSELF,Eric Carmen
349,Skyline Pigeon,Elton John
350,So Far Away,Carole King
371,Love Hurts,Nazareth
379,Three Times A Lady,Lionel Richie
382,Green Green Grass Of Home,Tom Jones
389,LET IT GROW,ERIC CLAPTON
410,Every Breath You Take,The Police
415,I Write The Songs,Barry Manilow
462,ALL FOR LOVE,"BRYAN ADAMS,ROD STEWART & STING"
480,Tayong Dalawa,Rey Valera
482,Mahal Pa Rin Kita,Rockstar
491,You Don't Love Me Anymore,Weird Al Yankovic
501,For All We Know,Carpenters
547,All My Life,America
551,RUN TO ME,BEE GEES
553,If You Walked Away,David Pomeranz
561,I Need You,America
562,PUSSYWILLOWS CATTAILS,KENNY RANKIN
563,In The Morning,The Bee Gees
569,Ride Like The Wind,Christopher Cross
570,If I Ever Loose My Faith..,Sting
572,RADIO GA GA,QUEEN
589,HURTING EACH OTHER,CARPENTERS
593,Arthur's Theme,Christopher Cross
610,Aubrey,Bread
621,Sometimes When We Touch,Dan Hill
636,It Must Have Been Love,Roxette
657,Muntik Ng Maabot Ang Langit,True Faith
663,SEPTEMBER MORN',NEIL DIAMOND
665,Never Let Her Slip Away,Andew Gold
695,When The Girl,Cliff Richardson
696,WIND ME UP (LET ME GO),CLIFF RICHARD
703,Danny's Song,Loggins & Messina
706,How Sweet It Is (To Be Loved By You),James Taylor
707,I AM WOMAN,HELEN REDDY
719,You're The Inspiration,Chicago
720,The Actor,Michael Learns To Rock
733,NO SON OF MINE,GENESIS
738,Back For Good,Take That
753,SOMEBODY TO LOVE,QUEEN
786,On And On,Stephen Bishop
804,BLUE BAYOU,LINDA RONSTADT
845,Garden Party,Ricky Nelson
854,Be Still My Beating Heart,J.  Bernardo
864,For The Peace Of All Mankind,Albert Hammond
868,I've Got My Mind Set On You,George Harrison
874,I Want To Know What Love Is,Foreigner
882,Living Next Door To Alice,Smokie
884,LITTLE WING,STING
891,Nothing's Gonna Stop Us Now,Starship
905,Put Your Head On My Shoulder,Paul Anka
915,Still Loving You,Scorpions
921,Up Where We Belong,Joe Cocker
924,HAVE YOU EVER BEEN MELLOW,OLIVIA NEWTON JOHN
926,If You Leave Me Now,Chicago
958,That's Why You Go,Michael Learns To Rock
961,Trying To Get That Feeling,Barry Manilow
963,YOU'RE THE ONE,THE CARPENTERS
965,WILL OF THE WIND,Jim Photoglo
975,Miss You In A Heartbeat,Def Leppard
977,It's Too Late,Carol King
979,I Made It Through The Rain,Barry Manilow
981,MUSKRAT LOVE,AMERICA
983,Suddenly,Olivia Newton-John and Cliff Richard
1014,How Do You keep The Music Playing,James Ingram and Patti Austin
1028,You Are Not Alone,Michael Jackson
1034,SHARING THE NIGHT..,DR. HOOK
1110,Pagsubok,Orient Pearl
1242,Show Me A Smile,Apo
1310,Muntik Ng Maabot Ang Langit,True Faith
1324,We've Only Just Begun,Carpenters
1329,Bato Sa Buhangin,Cinderella
1343,End Of The World,Carpenters
1346,Fields Of Gold,Sting
1348,Fixing A Broken Heart,Indecent Obsession
1386,Ocean Deep,Cliff Richard
1425,You Were There,Southern Sons
1442,Merry Christmas Darling,The Carpenters
1450,Rosanna,ToTo
1481,Don't Wanna Lose You,Gloria Estefan
1486,Fallen,Lauren Wood
1489,Heaven,Bryan Adams
1491,Here We Are,Gloria Estefan
1511,New Kid In Town,Eagles
1513,No Arms Can Ever Hold You,Chris Norman
1517,Out Of The Blue,Michael Learns To Rock
1527,Take It To The Limit,Eagles
1529,It's Sad To Belong,Englang Dan & John Ford Coley
1531,YOU'RE ALWAYS ON MY MIND,GALLERY
1533,Wind Of Change,Scorpions
1534,Huwag Na Lang Kaya,True Faith
1538,I WON'T HOLD YOU BACK,TOTO
1559,Somewhere Down The Road,Barry Manilow
1574,All Apologies,Nirvana
1576,Complicated Heart,MLTR
1580,It's A Heartache,Bonnie Tyler
1592,Mandy,Barry Manilow
1596,Muntik Nang Maabot Ang Langit,True Faith
1611,Sleeping Child,Michael Learns To Rock
1625,Babe,Styx
1639,You're My World,Helen Reddy
1641,EVEN NOW,BARRY MANILOW
1651,GOODBYE TO LOVE,THE CARPENTERS
1653,Roses Are Red,Bobby Vinton
1663,Where Are You Now,Jimmy Harnen
1668,I Wanna Dance,MLTR
1670,SOMETHING RIGHT,MLTR
1678,Stairway To Heaven,Led Zeppelin
1681,ODE TO MY FAMILY,THE CRANBERRIES
1690,I've Been Away Too Long,George Baker Selection
1693,I'm Gonna Come Back,MLTR
1694,CRAZY IN LOVE,KIM CARNES
1696,THESE DREAMS,HEART
1706,LOVE WILL KEEP US,EAGLES
1707,LOST IN YOUR EYES,DEBBIE GIBSON
1711,Could It Be Magic,Barry Manilow
1714,RAINY DAYS AND MONDAYS,CARPENTERS
1719,NOW AND FOREVER,RICHARD MARX
1721,You Are My Destiny,Paul Anka
1736,LINGER,THE CRANBERRIES
1757,Chuwariwap,Gee Girls
1775,Maniwala Ka Sana,Parokya Ni Edgar
1816,Because Of You,Paolo Santos
2543,Beauty and the Beast,Peabo Bryson & Celine Dion
2546,Careless Whisper,George Michael
2548,Casablanca,Bertie Higgins
2552,Crazy Love,Paul Anka
2557,Dust In The Wind,Kansas
2563,Feelings,Morris Albert
2572,The Green Green Grass Of Home,Tom Jones
2574,Hard To Say I'm Sorry,Chicago
2581,Hotel California,Eagles
2585,I've Been Away Too Long,George Baker Selection
2587,Imagine,John Lennon
2599,Love,John Lennon
2616,Raindrops Keeps Fallin' On My Head,J. Thomas
2618,YOU NEEDED ME,ANNE MURRAY
2619,Sailing,Rod Stewart
2621,SING,THE CARPENTERS
2626,Something,The Beatles
2639,THIS MASQUERADE,LEON RUSSELL
2640,Tears In Heaven,Eric Clapton
2644,You Light Up My Life,Debbie Boone
2647,Wonderful Tonight,Eric Clapton
2649,Yesterday Once More,Carpenters
2650,Woman In Love,Barbra Streisand
2654,HOW CAN I TELL HER,LOBO
2655,I'd Love You To Want Me,Lobo
2668,Hello,Lionel Richie
2670,ONLY YESTERDAY,CARPENTERS
2673,Superstar,Carpenters
2674,Delilah,Tom Jones
2677,Right Here Waiting,Richard Marx
2680,MIDNIGHT LADY,CHRIS NORMAN
2686,Top Of The World,Carpenters
2688,IF,BREAD
2689,NOTHING'S GONNA STOP US NOW,Starship
2692,Paloma Blanca,George Baker
2695,Nothing's Gonna Change My Love For You,Glenn Medeiros
2699,I Started A Joke,Bee Gees
2708,Mister Lonely,Bobby Vinton
2716,Alone Again,Gilbert O'Sullivan
2730,NEEDLES AND PINS,Smokie Robinson
2737,When I Need You,Albert Hammond
2738,We're All Alone,Boz Scaggs
2739,ONE MORE NIGHT,PHIL COLLINS
2743,Too Much Heaven,Bee Gees
2744,To All The Girls I've Loved Before,Julio Iglesias ft Willie Nelson
2745,Do That To Me One More Time,Captain & Tennille
2749,ETERNAL FLAME,BANGLES
2750,IT'S SO EASY,LINDA RONSTADT
2751,ALL OUT OF LOVE,AIR SUPPLY
2754,Another Day In Paradise,Phil Collins
2780,Soldier Of Fortune,Deep Purple
2788,It Might Be You,Stephen Bishop
2801,NOBODY DOES IT BETTER,CARLY SIMON
2809,Puppy Love,Paul Anka
2812,You've Got A Friend,Carole King/James Taylor
2815,I Don't Wanna Talk About It,Rod Stewart
2818,Why,Carole King
2824,I Just Died In Your Arms Tonight,Cutting Crew
2827,HE AIN'T HEAVY HE'S MY BROTHER,HOLLIES
2828,Stuck On You,Lionel Richie
2830,I Can't Tell You Why,Eagles
2836,NIKITA,ELTON JOHN
2839,Daniel,Elton John
2840,How Deep Is Your Love,Bee Gees
2841,Your Song,Elton John
2842,No More Lonely Nights,Paul McCartney
2848,How Am I Supposed To Live Without You,Michael Bolton
2850,I JUST CAN'T STOP LOVING YOU,MICHAEL JACKSON
